                                                           recipe_name                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            directions                                                                                                                                                                                                                                                  nutrition
                                              Mother's Applesauce Cake                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               Preheat oven to 300 degrees F (150 degrees C). Grease and flour a tube pan. Whisk together flour, salt, cinnamon, cloves, and soda. Set aside. Cream together 1/2 cup butter and 2 cups brown sugar, beating until light and fluffy. Mix in eggs. Add flour mixture into creamed mixture alternately with applesauce, beginning and ending with flour mixture. Stir in the raisins, dates, and walnuts. Pour batter into prepared pan. Bake in preheated oven until a tester inserted in the center of the cake comes out clean, about 1 1/2 hours. Cool on wire rack. To make icing, melt 1/2 cup butter or margarine in a small saucepan over low heat; stir in 1 cup brown sugar. Boil for 2 minutes. Stir in milk, and continue to stir until the mixture returns to a boil. Remove from heat, and cool for 5 minutes. Beat in vanilla and confectioners' sugar. Frost cooled cake.                        Total Fat 17g 22%, Saturated Fat 8g 40%, Cholesterol 54mg 18%, Sodium 415mg 18%, Total Carbohydrate 91g 33%, Dietary Fiber 3g 9%, Total Sugars 66g, Protein 5g, Vitamin C 1mg 5%, Calcium 66mg 5%, Iron 2mg 12%, Potassium 236mg 5%
                                                   Devils on Horseback                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    Preheat oven to 400 degrees F (200 degrees C). Soak the toothpicks in a bowl of water. Grease a 9x13-inch baking dish. In a bowl, mix together the soy sauce and ground ginger. Place the brown sugar into a shallow bowl. Spread open a pitted date, then stuff it with a smoked almond. Wrap the date with half a bacon slice, secure it with a toothpick, dip the bundle in soy sauce mixture, and then dip it into brown sugar. Place the wrapped dates into the prepared baking dish. If desired, sprinkle a little more brown sugar over the bundles. Bake in the preheated oven until the bacon is brown and crisp, 15 to 25 minutes. Allow to cool for about 15 minutes before serving; serve warm or at room temperature.                                               Total Fat 7g 9%, Saturated Fat 2g 11%, Cholesterol 10mg 3%, Sodium 226mg 10%, Total Carbohydrate 12g 4%, Dietary Fiber 1g 3%, Total Sugars 11g, Protein 2g, Calcium 12mg 1%, Iron 0mg 2%, Potassium 106mg 2%
                                                    Coconut Date Balls                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 In a medium saucepan over medium heat, combine the eggs sugar and dates. Bring to a boil, stirring occasionally, and boil for 5 minutes. Remove from heat and stir in the butter and vanilla. Mix in crispy rice cereal. Butter hands and roll the mixture into walnut sized balls. Roll the balls in coconut. Serve.                                 Total Fat 2g 2%, Saturated Fat 1g 7%, Cholesterol 17mg 6%, Sodium 45mg 2%, Total Carbohydrate 18g 6%, Dietary Fiber 1g 3%, Total Sugars 14g, Protein 1g, Vitamin C 2mg 12%, Calcium 5mg 0%, Iron 1mg 7%, Potassium 61mg 1%
                                      Ma'amoul (Lebanese Date Cookies)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   Mix semolina flour, all-purpose flour, mahlab, and salt together in a large bowl. Work clarified butter into the dry ingredients with your fingertips until thoroughly incorporated. Cover bowl and let dough rest at room temperature, 8 hours to overnight. Pour milk into a microwave-safe bowl. Microwave until just warm, about 15 seconds. Stir in sugar and yeast until dissolved. Let stand until foamy, about 5 minutes. Pour yeast mixture and orange blossom water over the dough and mix until evenly moistened. Pinch off a piece of dough and roll into a ball; it should hold its shape without cracking. Add more milk or orange blossom water if needed. Cover and let rest for 15 minutes. Preheat the oven to 350 degrees F (175 degrees C). Line 2 baking sheets with parchment paper or silicone baking mats. Sprinkle some flour over the ma'amoul molds and tap out the excess. Pinch off a walnut-sized piece of dough and roll into a ball. Press your thumb into the ball to create space for the filling. Work the edges with your fingers so the sides are even and fairly thin. Drop in a piece of date paste and pinch dough over it to seal. Place cookie into the mold cavity seam-side up. Press down so that the top is flush with edges of the mold. Trim off any excess dough. Invert the mold and tap it against your work surface to release the cookie. Repeat with remaining dough and date paste, arranging cookies 1 inch apart on the baking sheets. Bake in the preheated oven, 1 baking sheet at a time, until edges and bottoms are golden but tops are still mostly pale, about 15 minutes. Sift powdered sugar over the cookies while still slightly warm. Let cool completely. Store in an airtight container at room temperature.                                                     Total Fat 4g 6%, Saturated Fat 3g 14%, Cholesterol 11mg 4%, Sodium 25mg 1%, Total Carbohydrate 4g 2%, Dietary Fiber 0g 1%, Total Sugars 2g, Protein 0g, Calcium 3mg 0%, Iron 0mg 1%, Potassium 20mg 0%
                                               Sugar-Free Date Cookies                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              Preheat the oven to 350 degrees F (175 degrees C). Line a baking sheet with parchment paper. Combine the dates, pecans, water, banana, egg, butter, and vanilla extract in a bowl. Whisk flour, baking powder, cinnamon, and salt together in a separate bowl. Add to the date mixture and stir until well combined. Drop dough by tablespoonfuls about 1 inch apart onto the prepared baking sheet and flatten lightly with the palm of your hand. Bake in the preheated oven until cookies start to brown around the edges, being careful not to over-bake, for 11 to 13 minutes. Transfer cookies immediately to a wire rack to cool.                                  Total Fat 3g 4%, Saturated Fat 1g 5%, Cholesterol 14mg 5%, Sodium 73mg 3%, Total Carbohydrate 14g 5%, Dietary Fiber 1g 5%, Total Sugars 7g, Protein 2g, Vitamin C 0mg 2%, Calcium 24mg 2%, Iron 1mg 3%, Potassium 95mg 2%
                                    Energy Balls without Peanut Butter                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              Burst oats into a coarse meal in the bowl of a food processor. Add pumpkin seeds, walnuts, and pecans; pulse 10 to 15 times, until chunks are desired size. Toss dates into the food processor and mix for 30 seconds. Pour rice syrup in slowly, with the processor running, until combined and starting to ball up. Transfer to a bowl and mix in chocolate chips, coconut, raisins, and sunflower seeds. Pull off dough in 25 gram sections and roll into balls. Place in a single layer on a cookie sheet; it's okay if they touch but make sure they are not stacked. Refrigerate for 2 to 24 hours before serving.                                                        Total Fat 4g 6%, Saturated Fat 1g 7%, Sodium 5mg 0%, Total Carbohydrate 11g 4%, Dietary Fiber 1g 4%, Total Sugars 8g, Protein 2g, Vitamin C 0mg 1%, Calcium 10mg 1%, Iron 1mg 4%, Potassium 98mg 2%
                                                        Date Loaf Cake                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        Preheat oven to 400 degrees F (200 degrees C). Grease and flour a 9x5 inch loaf pan. In a large bowl, combine dates, brown sugar, margarine and boiling water. Let stand 15 minutes. Stir in flour, soda and vanilla. Pour batter into prepared pan. Bake in the preheated oven for 45 minutes. Allow to cool.                                                  Total Fat 4g 5%, Saturated Fat 1g 4%, Sodium 386mg 17%, Total Carbohydrate 41g 15%, Dietary Fiber 2g 5%, Total Sugars 26g, Protein 2g, Vitamin C 0mg 1%, Calcium 83mg 6%, Iron 1mg 6%, Potassium 130mg 3%
                                                   Bacon Wrapped Dates                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        Preheat oven to 400 degrees F. Cut a slit in each date. Place almonds inside slits. Press together the dates to close slits. Wrap each date with a piece of bacon. Line a shallow baking pan with Reynolds Wrap® Aluminum Foil. Add a roasting rack; place the dates on rack. Roast for 15 to 20 minutes or until bacon is crisp. Serve immediately with toothpicks. Dates will be hot inside.                                                      Total Fat 3g 4%, Saturated Fat 1g 5%, Cholesterol 7mg 2%, Sodium 145mg 6%, Total Carbohydrate 7g 2%, Dietary Fiber 1g 3%, Total Sugars 5g, Protein 3g, Calcium 7mg 1%, Iron 0mg 1%, Potassium 99mg 2%
                                                      Matrimonial Bars                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           Preheat oven to 350 degrees F (175 degrees C). Grease one 13x9 inch baking pan. Combine the oats, flour, brown sugar, butter, salt and baking soda. Mix well. The mixture will be crumbly. In a saucepan over low heat, cook the chopped dates with the water and the white sugar until the pulp is soft and well mixed. Layer 1/2 of the oat mixture onto the bottom of the prepared pan. Top with the date mixture and then finish off with the remaining oat mixture. Press down slightly on layers to compact. Bake at 350 degrees F (175 degrees C) for 45 minutes or until top crust begins to brown.                                              Total Fat 8g 11%, Saturated Fat 5g 25%, Cholesterol 20mg 7%, Sodium 207mg 9%, Total Carbohydrate 33g 12%, Dietary Fiber 2g 6%, Total Sugars 21g, Protein 2g, Calcium 19mg 1%, Iron 1mg 5%, Potassium 126mg 3%
                                                     Walnut Date Balls                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 Process walnuts, dates, coconut, sesame oil, sea salt, and vanilla extract together in a food processor until combined. Roll date mixture into bite-size balls; refrigerate until firm, about 1 hour.                                              Total Fat 14g 18%, Saturated Fat 3g 14%, Sodium 165mg 7%, Total Carbohydrate 28g 10%, Dietary Fiber 4g 15%, Total Sugars 22g, Protein 4g, Vitamin C 0mg 2%, Calcium 29mg 2%, Iron 3mg 14%, Potassium 292mg 6%
                                          Date Nut Pinwheel Cookies II                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           Cream the butter and brown sugar together in a mixing bowl until smooth. Add the eggs, one at a time, beating well after each addition. Stir in the vanilla. Sift the cinnamon, salt, baking soda, and flour together in a second mixing bowl. Slowly stir the flour mixture into the egg mixture until evenly blended. Divide the dough evenly into three portions and place each on a square of waxed paper. Wrap and refrigerate until firm, about 1 hour. Meanwhile, make the filling by combine the dates, pecans, water and white sugar in a saucepan set over low heat. Cook and stir until the filling has a paste-like consistency. Cool slightly. Working with one portion at a time, roll out the dough on a lightly floured surface to make a rectangle about 1/4 inch thick. Spread 1/3 of the filling evenly over the dough; roll up to make a log. Repeat the process with the remaining dough. Refrigerate until firm, about 1 hour. Preheat oven to 350 degrees F (180 degrees C). Lightly grease two baking sheets. Using a sharp, serrated knife, cut the rolls into 1/4 inch slices. Place the slices on prepared baking sheets. Bake in preheated oven until set and lightly browned, about 15 minutes. Cool on racks.                                                  Total Fat 5g 6%, Saturated Fat 2g 11%, Cholesterol 17mg 6%, Sodium 48mg 2%, Total Carbohydrate 19g 7%, Dietary Fiber 1g 3%, Total Sugars 11g, Protein 2g, Calcium 13mg 1%, Iron 1mg 3%, Potassium 56mg 1%
                                                     Date and Nut Bars                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       In a small bowl, pour boiling water over dates, and set aside to cool. Preheat oven to 325 degrees F (165 degrees C). Grease a 10x10 inch baking pan. In a medium bowl, cream together the shortening and white sugar. Add eggs, one at a time, beating after each addition. Add the dates, including any water; mix well. Sift together the flour, cinnamon, salt, nutmeg, and baking soda; stir into the date mixture. Then stir in the nuts. Spread the mixture evenly into the prepared 10x10 inch pan, and bake for 45 minutes in the preheated oven. When cool, cut into bars, and roll each bar in confectioners' sugar.                          Total Fat 13g 16%, Saturated Fat 3g 14%, Cholesterol 31mg 10%, Sodium 184mg 8%, Total Carbohydrate 46g 17%, Dietary Fiber 3g 9%, Total Sugars 35g, Protein 4g, Vitamin C 0mg 1%, Calcium 21mg 2%, Iron 1mg 6%, Potassium 205mg 4%
                                              Bacon and Date Appetizer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        Preheat the broiler. Slit dates. Place one almond inside each date. Wrap dates with bacon, using toothpicks to hold them together. Broil 10 minutes, or until bacon is evenly brown and crisp.                     Total Fat 44g 56%, Saturated Fat 12g 61%, Cholesterol 52mg 17%, Sodium 631mg 27%, Total Carbohydrate 32g 12%, Dietary Fiber 5g 19%, Total Sugars 25g, Protein 14g, Vitamin C 0mg 1%, Calcium 65mg 5%, Iron 2mg 8%, Potassium 538mg 11%
